title,writer,pony,dialog
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Oh, I've never seen a baby dragon before. He's sooo cute!"
"Friendship is Magic, part 1",Lauren Faust,spike,"Well, well, well...!"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Oh my, he talks. I didn't know dragons could talk. That's just so incredibly wonderful I, I just don't even know what to say!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Well, in that case we'd better be going."
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Wait, wait! What's his name?"
"Friendship is Magic, part 1",Lauren Faust,spike,I'm Spike.
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Hi Spike, I'm Fluttershy. Wow, a talking dragon! And what do dragons talk about?"
"Friendship is Magic, part 1",Lauren Faust,spike,"Well, what do you wanna know?"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,Absolutely everything.
"Friendship is Magic, part 1",Lauren Faust,spike,Well... I started out as a cute little purple and green egg...
"Friendship is Magic, part 1",Lauren Faust,spike,"...and that's the story of my whole entire life! Well, up until today. Do you wanna hear about today?"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Oh, yes, please!"
"Friendship is Magic, part 1",Lauren Faust,spike,Gyah!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"I am so sorry, how did we get here so fast? This is where I'm staying while in Ponyville and my poor baby dragon needs his sleep."
"Friendship is Magic, part 1",Lauren Faust,spike,No I don't<U+0097> whoa!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Aww, wook at dat, he's so sweepy he can't even keep his widdle bawance!"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Poor thing, you simply must get into bed..."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Yes, yes, we'll get right on that. Well, g'night!"
"Friendship is Magic, part 1",Lauren Faust,spike,Huh. Rude much?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Sorry, Spike, but I have to convince the Princess that Nightmare Moon is coming, and we're running out of time! I just need to be alone so I can study without a bunch of crazy ponies trying to make friends all the time. Now, where's the light?"
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,Surprise!
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"Hi, I'm Pinkie Pie, and I threw this party just for you! Were you surprised? Were ya? Were ya? Huh huh huh?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Very surprised. Libraries are supposed to be quiet.
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"Well, that's silly! What kind of welcome party would this be if it were quiet? I mean, duh, bo-ring! Y'see, I saw you when you first got here, remember? You were all ""hello"" and I was all [deep gasp], remember? Y'see I've never saw you before and if I've never saw you before that means you're new, 'cause I know everypony, and I mean everypony in Ponyville!"
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"And if you're new, that meant you haven't met anyone yet, and if you haven't met anyone yet, you must not have any friends, and if you don't have any friends then you must be lonely, and that made me so sad, then I had an idea, and that's why I went [deep gasp]! I must throw a great big ginormous super-duper spectacular welcome party and invite everyone in Ponyville! See? And now you have lots and lots of friends!"
"Friendship is Magic, part 1",Lauren Faust,applejack,"Are you all right, sugarcube?"
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"Aww, she's so happy she's crying!"
"Friendship is Magic, part 1",Lauren Faust,spike,"""Hot sauce""."
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,Ooh... [with mouth full] What? It's good!
"Friendship is Magic, part 1",Lauren Faust,spike,"Hey Twilight! Pinkie Pie's starting ""pin the tail on the pony""! Wanna play?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,No! All the ponies in this town are crazy! Do you know what time it is?!
"Friendship is Magic, part 1",Lauren Faust,spike,"It's the eve of the Summer Sun Celebration. Everypony has to stay up, or they'll miss the Princess raise the sun! You really should lighten up, Twilight. It's a party!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Ugh, here I thought I'd have time to learn about the Elements of Harmony but, silly me, all this ridiculous friend-making has kept me from it! ""Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about everlasting night."" I hope the Princess was right... I hope it really is just an old pony tale..."
"Friendship is Magic, part 1",Lauren Faust,spike,"C'mon, Twilight, it's time to watch the sunrise!"
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"Isn't this exciting? Are you excited, 'cause I'm excited, I've never been so excited<U+0097> well, except for the time that I saw you walking into town and I went [deep gasp] but I mean really, who can top that?"
"Friendship is Magic, part 1",Lauren Faust,mayor mare,"Fillies and gentlecolts, as mayor of Ponyville, it is my great pleasure to announce the beginning of the Summer Sun Celebration!"
"Friendship is Magic, part 1",Lauren Faust,mayor mare,"In just a few moments, our town will witness the magic of the sunrise, and celebrate this, the longest day of the year! And now, it is my great honor to introduce to you the ruler of our land, the very pony who gives us the sun and the moon each and every day, the good, the wise, the bringer of harmony to all of Equestria..."
"Friendship is Magic, part 1",Lauren Faust,fluttershy,Ready?
"Friendship is Magic, part 1",Lauren Faust,mayor mare,...Princess Celestia!
"Friendship is Magic, part 1",Lauren Faust,rarity,Huh?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,This can't be good.
"Friendship is Magic, part 1",Lauren Faust,mayor mare,"Remain calm, everypony, there must be a reasonable explanation!"
"Friendship is Magic, part 1",Lauren Faust,pinkie pie,"Ooh, ooh, I love guessing games! Is she hiding?"
"Friendship is Magic, part 1",Lauren Faust,rarity,She's gone!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Oh no... Nightmare Moon!
"Friendship is Magic, part 1",Lauren Faust,nightmare moon,"Oh, my beloved subjects. It's been so long since I've seen your precious little sun-loving faces."
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,What did you do with our Princess?!
"Friendship is Magic, part 1",Lauren Faust,applejack,"[muffled] Whoa there, Nelly..."
"Friendship is Magic, part 1",Lauren Faust,nightmare moon,"[chuckle] Why, am I not royal enough for you? Don't you know who I am?"
"Friendship is Magic, part 1",Lauren Faust,nightmare moon,Does my crown no longer count now that I have been imprisoned for a thousand years? Did you not recall the legend? Did you not see the signs?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,I did. And I know who you are. You're the Mare in the Moon <U+0096> Nightmare Moon!
"Friendship is Magic, part 1",Lauren Faust,nightmare moon,"Well well well, somepony who remembers me. Then you also know why I'm here."
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"""Elements of Harmony, see 'Mare in the Moon'""?"
"Friendship is Magic, part 2",Lauren Faust,spike,But that's just an old ponies' tale.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,She will bring about nighttime eternal.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,It's imperative that the princess is told right away.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,I knew she would wanna take immediate action.
"Friendship is Magic, part 2",Lauren Faust,spike,"My dear Twilight, there is more to a young pony's life than studying. Make some friends!"
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,All the ponies in this town are crazy!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,I hope the Princess was right.
"Friendship is Magic, part 2",Lauren Faust,rarity,She's gone!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Oh no. Nightmare Moon!
"Friendship is Magic, part 2",Lauren Faust,mayor mare,Seize her! Only she knows where the Princess is!
"Friendship is Magic, part 2",Lauren Faust,applejack,Ergh...
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Come back here! [pants] Nighttime? Forever? Where's she going?
"Friendship is Magic, part 2",Lauren Faust,spike,Uh... We gotta stop Nightmare!...
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"You've been up all night, Spike. You are a baby dragon after all. Elements, elements, elements... Ugh! How can I stop Nightmare Moon without the Elements of Harmony?"
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,"And just what are the Elements of Harmony? And how did you know about Nightmare Moon, huh? Are you a spy? Whoa!"
"Friendship is Magic, part 2",Lauren Faust,applejack,"Simmer down, Sally. She ain't no spy. But she sure knows what's going on. Don't you, Twilight?"
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"I read all about the prediction of Nightmare Moon. Some mysterious objects called the Elements of Harmony are the only things that can stop her, but I don't know what they are, where to find them; I don't even know what they do!"
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"""The Elements of Harmony: A Reference Guide."""
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,How did you find that?!
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"[sing-song voice] It was under ""E""!"
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"Oh. There are six Elements of Harmony, but only five are known: Kindness, Laughter, Generosity, Honesty and Loyalty. The sixth is a complete mystery. It is said, the last known location of the five elements was in the ancient castle of the royal pony sisters. It is located in what is now--"
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,Whee! Let's go!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"Not so fast. Look, I appreciate the offer, but I'd really rather do this on my own."
"Friendship is Magic, part 2",Lauren Faust,applejack,"No can do, sugarcube. We sure ain't lettin' any friend of ours go into that creepy place alone. We're stickin' to you like caramel on a candy apple."
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,Especially if there's candy apples in there. What? Those things are good.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"So, none of you have been in here before?"
"Friendship is Magic, part 2",Lauren Faust,rarity,"Ugh, heavens no! Just look at it - it's dreadful."
"Friendship is Magic, part 2",Lauren Faust,applejack,And it ain't natural. Folks say it don't work the same as Equestria.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,What's that supposed to mean?
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Nopony knows. You know why?
"Friendship is Magic, part 2",Lauren Faust,applejack,"Rainbow, quit it."
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,'cause everypony who's ever come in has never come out!
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Fluttershy! Quick!
"Friendship is Magic, part 2",Lauren Faust,fluttershy,"Oh my goodness, oh my goodness."
"Friendship is Magic, part 2",Lauren Faust,applejack,Hold on! I'm a-comin'!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Applejack! What do I do?
"Friendship is Magic, part 2",Lauren Faust,applejack,Let go.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Are you crazy?
"Friendship is Magic, part 2",Lauren Faust,applejack,No I ain't. I promise you'll be safe.
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,That's not true!
"Friendship is Magic, part 2",Lauren Faust,applejack,"Now listen here. What I'm sayin' to you is the honest truth. Let go, and you'll be safe."
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Yaaah! Phew-wah!
"Friendship is Magic, part 2",Lauren Faust,fluttershy,Sorry girls. I'm not used to holding anything more than a bunny or two.
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,"And once Pinkie and Rarity were saved, whoosh... Me and Fluttershy loop-de-loop around and WHAM! Caught you right in the nick of time."
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"Yes, Rainbow, I was there, and I'm very grateful, but we gotta- [gasp] A manticore!"
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,We've gotta get past him!
"Friendship is Magic, part 2",Lauren Faust,rarity,"Take that, you ruffian!"
"Friendship is Magic, part 2",Lauren Faust,rarity,My hair! Woop--
"Friendship is Magic, part 2",Lauren Faust,fluttershy,Wait.
"Friendship is Magic, part 2",Lauren Faust,applejack,"YEE-HAW! Git along, little dogie."
"Friendship is Magic, part 2",Lauren Faust,fluttershy,Wait.
"Friendship is Magic, part 2",Lauren Faust,applejack,"Whoa! All yours, partner."
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,I'm on it.
"Friendship is Magic, part 2",Lauren Faust,fluttershy,Wait!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Rainbow!
"Friendship is Magic, part 2",Lauren Faust,fluttershy,WAIT!
"Friendship is Magic, part 2",Lauren Faust,fluttershy,"Shhh... It's okay. Oh, you poor, poor little baby."
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Little?
"Friendship is Magic, part 2",Lauren Faust,fluttershy,Now this might hurt for just a second.
"Friendship is Magic, part 2",Lauren Faust,fluttershy,"[giggles] Aw you're just a little ol' baby kitty, aren't you? Yes you are, yes you are."
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,How did you know about the thorn?
"Friendship is Magic, part 2",Lauren Faust,fluttershy,I didn't. Sometimes we all just need to be shown a little kindness.
"Friendship is Magic, part 2",Lauren Faust,rarity,"No. My eyes need a rest from all this icky muck. Well, I didn't mean that literally."
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,That ancient ruin could be right in front of our faces and we wouldn't even know it.
"Friendship is Magic, part 2",Lauren Faust,rarity,"I didn't see you there, my apologies."
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Right here... guh...
"Friendship is Magic, part 2",Lauren Faust,applejack,"Oh wait, I think I stepped in somethin'."
"Friendship is Magic, part 2",Lauren Faust,applejack,It's just mud.
"Friendship is Magic, part 2",Lauren Faust,applejack,Aah!
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"Pinkie, what are you doing?! Run!"
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"Oh girls, don't you see?"
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,When I was a little filly and the sun was going down...
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,Tell me she's not...
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"The darkness and the shadows, they would always make me frown..."
"Friendship is Magic, part 2",Lauren Faust,rarity,She is.
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,I'd hide under my pillow From what I thought I saw But Granny Pie said that wasn't the way To deal with fears at all
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,Then what is?
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"She said, ""Pinkie, you gotta stand up tall Learn to face your fears You'll see that they can't hurt you Just laugh to make them disappear."""
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,"So, giggle at the ghostly Guffaw at the grossly Crack up at the creepy Whoop it up with the weepy Chortle at the kooky Snortle at the spooky"
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,How are we gonna cross this?
"Friendship is Magic, part 2",Lauren Faust,pinkie pie,Huh?
"Friendship is Magic, part 2",Lauren Faust,twilight sparkle,"Excuse me, sir. Why are you crying?"
"Friendship is Magic, part 2",Lauren Faust,rainbow dash,"Oh, give me a break."
"Friendship is Magic, part 2",Lauren Faust,applejack,That's what all the fuss is about?
